Fonte,Data_Coleta,Cargo,Qtd Vagas,Descrição,Empresa,Local,Salário,Link,Termo_Busca
Catho,2026-07-20 20:59,Babá,1 vaga,,,1 vaga - Brasilia,"A partir de R$ 2.000,00",https://www.catho.com.br/vagas/baba/37539895,babá
Catho,2026-07-20 20:59,Babá,1 vaga,,,1 vaga - Santana de Parnaíba,R$ 3.000,https://www.catho.com.br/vagas/baba/37526717,babá
Catho,2026-07-20 20:59,Babá,1 vaga,"Cuidar de uma criança idade 8 anos, com atividades recreativas
adequadas( Jogar bola, Jogos de tabuleiro, etc.);
Preparar e servir lanches/refeições, lavar e passar (tudo que se
refere a criança);Gostar de organização, limpeza e de crianças;
Desejável experiência 2 anos em casa de família.",Empresa Confidencial,1 vaga - Nova Lima,A Combinar,https://www.catho.com.br/vagas/baba/37527022,babá
Catho,2026-07-20 20:59,Babá meio periodo,1 vaga,,,1 vaga - Carapicuíba,A Combinar,https://www.catho.com.br/vagas/baba-meio-periodo/37542125,babá
Catho,2026-07-20 20:59,Babá,1 vaga,,,1 vaga - Sinop,"A partir de R$ 2.000,00",https://www.catho.com.br/vagas/baba/37402879,babá
Catho,2026-07-20 20:59,Babá,1 vaga,,,1 vaga - Fortaleza,R$ 1.800,https://www.catho.com.br/vagas/baba/37273573,babá
Catho,2026-07-20 21:00,Babá,1 vaga,,,1 vaga - Porto Alegre,"A partir de R$ 3.000,00",https://www.catho.com.br/vagas/baba/37107839,babá
Catho,2026-07-20 21:00,Babá,1 vaga,,,1 vaga - São Bernardo do Campo,R$ 1.951,https://www.catho.com.br/vagas/baba/36964113,babá
Catho,2026-07-20 21:00,Babá,1 vaga,,,1 vaga - São Paulo,R$ 3.000,https://www.catho.com.br/vagas/baba/36930647,babá
Catho,2026-07-20 21:00,Babá,1 vaga,,,1 vaga - Suzano,A Combinar,https://www.catho.com.br/vagas/baba/36912473,babá
Catho,2026-07-20 21:00,BABÁ,1 vaga,"Experiência comprovada com bebês.
Paciência, atenção e responsabilidade.
Referências serão um diferencial.
Disponibilidade de horário conforme necessidade da família.Cuidar da alimentação do bebê.
Trocar fraldas e manter a higiene.
Auxiliar nas sonecas e na rotina diária.
Estimular o desenvolvimento com brincadeiras adequadas à idade.
Manter os pertences do bebê organizados.",FKS LOGISTICS,1 vaga - Sumare,A Combinar,https://www.catho.com.br/vagas/baba/36899527,babá
Catho,2026-07-20 21:00,Babá,1 vaga,,,1 vaga - Goiania,"A partir de R$ 2.000,00",https://www.catho.com.br/vagas/baba/36225319,babá
Catho,2026-07-20 21:00,Babá,1 vaga,"Cuidar e zelar pela segurança e bem-estar da criança
Preparar refeições e lanches adequados
Criar e executar atividades educativas e recreativas
Manter a organização dos pertences das crianças
Comunicar-se de forma clara com os pais sobre o dia a dia da criançaExperiência prévia como babá
Ensino médio completo
Disponibilidade de horário
Curso de primeiros socorros
Conhecimento em atividades recreativas para crianças
Experiência com bebê de 1 ano",,1 vaga - Fortaleza,R$ 1.800,https://www.catho.com.br/vagas/baba/36811965,babá
Catho,2026-07-20 21:00,Babá,1 vaga,"Estamos em busca de uma babá carinhosa, responsável e experiente para cuidar de uma criança de 1 ano e 3 meses. A profissional deverá ter sensibilidade com as necessidades da criança, zelar pelo bem-estar, higiene e rotina do bebê, além de colaborar com um ambiente calmo e seguro.
Cuidar do bebê durante o horário (troca de fraldas, alimentação com mamadeira, estímulos adequados à idade).
Monitorar o sono, segurança e conforto da criança.
Preparar mamadeiras.
Estimular o bebê com músicas, conversas e brinquedos apropriados para a faixa etária.
Manter o espaço do bebê limpo e organizado (berço, trocador, brinquedos).
Comunicar com clareza aos responsáveis sobre a rotina do bebê (alimentação, sono, possíveis desconfortos, etc.).Experiência prévia comprovada com bebês ou crianças.
Ser carinhosa, paciente, atenta e cuidadosa.
Ser pontual, discreta e responsável.
Ter referências anteriores (obrigatório).
Estar com vacina contra COVID-19 em dia e, preferencialmente, com vacinação de rotina atualizada (como tétano, coqueluche e influenza).",,1 vaga - Coromandel,A Combinar,https://www.catho.com.br/vagas/baba/36789666,babá
Catho,2026-07-20 21:00,Babá,1 vaga,"Cuidar e zelar pela segurança e bem-estar da criança
Preparar refeições e lanches saudáveis
Realizar atividades recreativas e educativas com a criança
Acompanhar em consultas médicas e demais compromissos
Manter o ambiente limpo e organizado
Comunicar os pais sobre o desenvolvimento e comportamento da criançaExperiência anterior como babá
Certificado de primeiros socorros
Conhecimento em cuidados infantis
Formação na área de pedagogia
Curso de cuidados especiais com crianças
Conhecimento em atividades lúdicas e educativas",,1 vaga - Cuiaba,A Combinar,https://www.catho.com.br/vagas/baba/36710714,babá
Catho,2026-07-20 21:00,Babá Bilingue,1 vaga,"Cuidar e zelar pela segurança e bem-estar das crianças
Estimular o desenvolvimento cognitivo e emocional das crianças
Realizar atividades educativas e recreativas de acordo com a faixa etária
Auxiliar nas tarefas escolares e no aprendizado de novos idiomas
Manter a organização dos pertences e do ambiente das crianças
Comunicar-se de forma clara e eficaz com os pais sobre o dia a dia das criançasExperiência comprovada como babá ou professora
Fluência em dois idiomas (português e inglês)
Formação em Inglês ou áreas afins
Experiência em cuidar de crianças pode ter trabalhar como monitora, professora desde que domine o idioma inglês
Conhecimento em atividades lúdicas e educativas",,1 vaga - Goiania,R$ 5.300,https://www.catho.com.br/vagas/baba-bilingue/36691958,babá
Catho,2026-07-20 21:00,Babá - Meio Turno,1 vaga,"Babá - Meio Turno (manhã ou tardes)
Bairro Bela Vista
Salário R$ 2500,00 + VT
Seg. a Sex. 8hs as 12:30 ou tardes
Cuidados com 2 crianças 4 e 9 anos. Tem doméstica na casa.
Atividades lúdicas, desenvolvimento. Brincar, pintar, historinhas. Perfil de escolinha.
Ter experiência e estabilidade nos ultimos empregos",,1 vaga - Porto Alegre,"A partir de R$ 2.000,00",https://www.catho.com.br/vagas/baba-meio-turno/37430748,babá
Catho,2026-07-20 21:00,Babá Domiciliar - Praia Grande,1 vaga,"Cuidar da criança com atenção, zelo e afeto;
Desenvolver atividades lúdicas e de estímulo adequadas;
Manter a rotina de sono, alimentação e higiene conforme orientação da família;
Garantir um ambiente seguro e acolhedor.Experiência recomendada como babá ou cuidadora infantil;
Facilidade para lidar com crianças (1 à 2);
Comprometimento, responsabilidade e paciência;
Ensino Médio Completo;
Disponibilidade para início na data prevista.
Diferenciais
Formação em Pedagogia, Enfermagem ou cursos na área infantil;
Referências anteriores de trabalho com crianças.",,1 vaga - Santos,A Combinar,https://www.catho.com.br/vagas/baba-domiciliar-praia-grande/36720839,babá
Catho,2026-07-20 21:00,Babá Noturna - Recém-nascido,1 vaga,,,1 vaga - Santo Andre,R$ 3.000,https://www.catho.com.br/vagas/baba-noturna-recem-nascido/37275422,babá
Catho,2026-07-20 21:00,Berçarista,1 vaga,"Irá atuar com crianças com idades entre 1 e2 anos, auxiliando-as na higiene, alimentação e na organização dos ambientes e pertences.Necessário Ensino Médio Completo e possuir o Histórico Escolar.
Necessário experiência na função e disponibilidade para realizar horas extras quando necessário.
Importante residir na Zona Sul de SP, e ter acesso fácil à região do Aeroporto de Congonhas ou Shopping Interlagos.",BABY NURSE,1 vaga - São Paulo,R$ 2.030,https://www.catho.com.br/vagas/bercarista/37587412,babá
Catho,2026-07-20 21:00,Babá (cuidadora de criança) e Auxiliar do Lar,1 vaga,"Cuidar e zelar pelo bebe, garantindo seu bem-estar e segurança
Preparar e servir refeições adequadas à família
Auxiliar nas atividades de limpeza e manutenção do apartamentoExperiência comprovada como cuidadora de crianças
Capacidade de lidar com situações de emergência de forma calma e eficaz
Conhecimento em cuidados de recém nascidos",,1 vaga - Fortaleza,A Combinar,https://www.catho.com.br/vagas/baba-cuidadora-de-crianca-e-auxiliar-do-lar/37178364,babá
Catho,2026-07-20 21:00,Berçarista,1 vaga,"Cuidar da higiene e alimentação dos bebês; Organizar e supervisionar atividades lúdicas e educativas; Monitorar o sono e o bem-estar geral das crianças; Comunicar-se com os pais sobre o desenvolvimento e as necessidades dos bebês; Manter o ambiente do berçário limpo e organizado.Ensino Médio completo; Curso de Berçarista ou Pedagogia (desejável); Experiência comprovada em berçário ou creche; Conhecimento em primeiros socorros; Paciência, carinho e proatividade; Habilidade para trabalhar em equipe.
Formação: Ensino Médio completo.
Experiência recomendada em berçário ou creche.
Habilidades: Paciência, proatividade, comunicação interpessoal, organização.",,1 vaga - Brasilia,"Até R$ 2.000,00",https://www.catho.com.br/vagas/bercarista/37474227,babá
Catho,2026-07-20 21:00,Berçarista,1 vaga,"Cuidar da higiene e alimentação dos bebês; Organizar e supervisionar atividades lúdicas e educativas; Monitorar o sono e o bem-estar geral das crianças; Comunicar-se com os pais sobre o desenvolvimento e as necessidades dos bebês; Manter o ambiente do berçário limpo e organizado.Ensino Médio completo; Curso de Berçarista ou Pedagogia (desejável); Experiência comprovada em berçário ou creche; Conhecimento em primeiros socorros; Paciência, carinho e proatividade; Habilidade para trabalhar em equipe.
Formação: Ensino Médio completo.
Experiência em berçário ou creche.
Habilidades: Cuidado infantil, comunicação, organização, primeiros socorros.",,1 vaga - Brasilia,"Até R$ 2.000,00",https://www.catho.com.br/vagas/bercarista/37474241,babá
